MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Cansanção;32908;54,47;0,557;0,53;0,745;0,438;326;8,66;431;3397
Canudos;15732;60,2;0,562;0,554;0,707;0,453;116;8,2;174;1566
Capela do Alto Alegre;11527;67,42;0,599;0,582;0,77;0,48;159;11,76;186;963
Capim Grosso;26577;85,09;0,621;0,62;0,752;0,514;205;8,3;281;1620
Caraíbas;10222;42,21;0,555;0,57;0,739;0,405;169;11,67;183;1190
Caravelas;21414;67,16;0,616;0,626;0,791;0,473;158;6,94;196;1337
Cardeal da Silva;8899;32,03;0,552;0,523;0,735;0,437;54;6,06;80;741
Carinhanha;28380;64,25;0,576;0,525;0,763;0,477;171;6,54;210;3361
Casa Nova;64940;57,13;0,57;0,577;0,736;0,435;464;7,32;603;6008
Castro Alves;25408;72,09;0,613;0,591;0,774;0,504;204;8,67;326;2485
Catolândia;2612;80,07;0,582;0,554;0,786;0,452;20;9,99;28;222
Catu;51077;88,5;0,677;0,66;0,814;0,578;293;6,41;480;3389
Caturama;8843;53,73;0,571;0,543;0,77;0,446;104;10,12;143;646
Central;17013;68,45;0,596;0,54;0,728;0,538;128;8,44;196;1591
Chorrochó;10734;43,09;0,6;0,552;0,779;0,503;103;9,01;155;1123
Cícero Dantas;32300;69,71;0,585;0,59;0,712;0,477;403;10,5;402;1656
Cipó;15755;80,43;0,601;0,589;0,744;0,496;136;7,68;160;1199
Coaraci;20964;82,34;0,613;0,615;0,762;0,491;245;11,31;270;2536
Cocos;18153;68,49;0,596;0,558;0,805;0,471;178;8,92;197;1669
Conceição da Feira;20391;88,35;0,634;0,606;0,766;0,548;110;7,32;226;2176
Conceição do Almeida;17889;68,93;0,606;0,578;0,805;0,479;188;9,58;308;2702
Conceição do Coité;62040;61,77;0,611;0,587;0,752;0,517;521;7,92;584;3062
Conceição do Jacuípe;30123;74,48;0,663;0,63;0,799;0,579;163;6,9;281;2207
Conde;23620;63,66;0,56;0,551;0,705;0,451;178;6,82;248;2533
Condeúba;16898;64,77;0,582;0,559;0,789;0,447;176;11,32;307;1705
Contendas do Sincorá;4663;73,15;0,577;0,579;0,695;0,477;60;10,51;75;528
