MUN;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Santa Cruz Cabrália;26264;74,09;0,654;0,624;0,784;0,571;115;4,83;108;1310
Santa Cruz da Vitória;6673;80,49;0,61;0,573;0,786;0,504;55;8,83;57;973
Santa Inês;10363;73,27;0,574;0,571;0,704;0,47;150;10,89;223;1166
Santaluz;33838;58,34;0,598;0,559;0,764;0,5;287;7,95;387;2549
Santa Luzia;13344;52,57;0,556;0,564;0,768;0,396;134;7,84;101;1235
Santa Maria da Vitória;40309;77,66;0,614;0,592;0,758;0,516;327;8,11;370;3463
Santana;24750;75,28;0,608;0,585;0,776;0,496;241;9,74;304;1786
Santanópolis;8776;37,02;0,592;0,561;0,746;0,496;90;10,94;145;1127
Santa Rita de Cássia;26250;67,49;0,605;0,564;0,766;0,513;228;8,15;274;2289
Santa Teresinha;9648;65,74;0,587;0,549;0,804;0,459;135;11,97;206;1424
Santo Amaro;57800;76,45;0,646;0,626;0,772;0,559;363;7,6;701;4985
Santo Antônio de Jesus;90985;86,44;0,7;0,677;0,815;0,622;507;6,25;910;4367
Santo Estêvão;47880;70,17;0,626;0,611;0,808;0,498;355;7,93;555;4114
São Desidério;27659;67,28;0,579;0,584;0,742;0,449;182;5,52;153;1776
São Domingos;9226;78,52;0,64;0,601;0,757;0,575;117;9,7;124;492
São Felipe;20305;75,82;0,616;0,565;0,787;0,525;177;9,1;300;1768
São Félix;14098;67,75;0,639;0,582;0,769;0,583;85;6,8;184;1250
São Félix do Coribe;13048;90,78;0,639;0,601;0,784;0,555;94;6,77;108;1196
São Francisco do Conde;33183;83,25;0,674;0,641;0,812;0,587;116;4,49;158;2229
São Gabriel;18427;56,71;0,592;0,55;0,704;0,537;138;7,18;127;1196
São Gonçalo dos Campos;33283;80,14;0,627;0,636;0,752;0,516;212;7,72;351;3369
São José da Vitória;5715;69,76;0,546;0,553;0,686;0,429;57;8,82;56;599
São José do Jacuípe;10180;62,95;0,552;0,555;0,726;0,417;109;9,42;126;731
São Miguel das Matas;10414;76,2;0,593;0,568;0,783;0,468;93;8,92;132;660
São Sebastião do Passé;42153;74,37;0,657;0,633;0,812;0,551;226;6,29;336;3283
Sapeaçu;16585;68,25;0,614;0,602;0,735;0,522;122;8,55;246;1363
Sátiro Dias;18964;64,4;0,527;0,524;0,736;0,379;171;8,68;204;2070
Saubara;11201;93,37;0,617;0,563;0,738;0,565;85;8,75;139;822
Saúde;11845;62,47;0,549;0,546;0,685;0,442;109;9,27;151;1347
Seabra;41798;67,8;0,635;0,588;0,761;0,572;332;7,83;494;3241
Sebastião Laranjeiras;10371;78,39;0,615;0,569;0,777;0,527;77;7,42;80;701
Senhor do Bonfim;74419;86,22;0,666;0,638;0,773;0,599;599;8,19;948;5054
Sento Sé;37425;66,84;0,585;0,535;0,778;0,48;213;5,82;273;3377
Serra do Ramalho;31638;62,64;0,595;0,53;0,775;0,512;232;7,63;213;2683
Serra Dourada;18112;57,15;0,608;0,539;0,775;0,537;161;9,17;220;1801
Serra Preta;15401;44,23;0,566;0,541;0,732;0,459;231;11,92;277;2276
Serrinha;76762;75,75;0,634;0,615;0,778;0,532;529;7,1;733;6004
Serrolândia;12344;78,41;0,59;0,56;0,721;0,508;141;10,13;149;957
Simões Filho;118047;90,25;0,675;0,641;0,813;0,591;304;4,03;489;4823
Sítio do Mato;12050;67,79;0,564;0,455;0,774;0,509;75;6,22;88;1602
Sítio do Quinto;12592;68,14;0,533;0,552;0,695;0,395;125;8,72;137;1046
Sobradinho;22000;85,07;0,631;0,605;0,748;0,555;104;7,16;160;1817
Souto Soares;15899;64,48;0,592;0,533;0,734;0,53;113;7,61;145;1415
Tabocas do Brejo Velho;11431;59,79;0,584;0,53;0,764;0,492;109;8,97;130;939
Tanhaçu;20013;67,74;0,577;0,565;0,772;0,44;221;9,75;282;1837
Tanque Novo;16128;60,95;0,599;0,583;0,778;0,474;153;8,79;175;1277
Tanquinho;8008;71,32;0,597;0,567;0,768;0,488;79;9,54;131;834
Taperoá;18748;54,26;0,566;0,566;0,754;0,426;128;6,09;129;1345
Tapiramutá;16516;65,36;0,594;0,589;0,752;0,473;87;5,49;126;1831
Teixeira de Freitas;138341;88,33;0,685;0,683;0,8;0,588;771;6,04;987;5880
Teodoro Sampaio;7895;79,24;0,594;0,567;0,774;0,477;70;10,2;132;1052
Teofilândia;21482;52,28;0,566;0,571;0,737;0,431;139;6,86;190;1655
Teolândia;14836;48,95;0,555;0,541;0,756;0,418;94;5,54;93;1184
Terra Nova;12803;55,01;0,578;0,581;0,7;0,474;100;8,09;144;1295
Tremedal;17029;50,39;0,528;0,545;0,749;0,36;226;12,78;280;1920
Tucano;52418;63,06;0,579;0,596;0,712;0,458;529;8,85;660;5631
Uauá;24294;48,34;0,605;0,554;0,747;0,535;291;10,67;415;2808
Ubaíra;19750;83,04;0,582;0,581;0,759;0,447;220;9,05;254;1813
Ubaitaba;20691;74,44;0,611;0,607;0,767;0,49;188;8,11;200;2154
Ubatã;25004;71,96;0,593;0,586;0,788;0,452;216;8,2;234;2977
Uibaí;13625;79,74;0,617;0,575;0,758;0,54;132;9,56;141;1168
Umburanas;17000;39,96;0,515;0,469;0,705;0,413;104;6,05;97;2028
Una;24110;54,62;0,56;0,584;0,71;0,424;164;6,63;144;1837
Urandi;16466;79,06;0,598;0,595;0,766;0,469;147;8,84;217;1219
Uruçuca;19837;75,8;0,616;0,607;0,758;0,507;137;7,95;185;1767
Utinga;18173;71,26;0,59;0,597;0,706;0,487;116;7,05;180;1381
Valença;88673;77,04;0,623;0,619;0,778;0,502;544;6,34;765;5980
Valente;24560;79,36;0,637;0,623;0,729;0,568;221;7,91;235;1396
Várzea da Roça;13786;65,24;0,539;0,539;0,775;0,374;159;9,72;185;945
Várzea do Poço;8661;79,39;0,575;0,581;0,707;0,462;115;10,51;127;392
Várzea Nova;13073;61,74;0,555;0,543;0,685;0,46;105;8,36;134;1016
Varzedo;9109;76,06;0,586;0,581;0,753;0,461;88;9,27;117;683
Vera Cruz;37567;87,48;0,645;0,632;0,817;0,52;184;6,63;298;1839
Vereda;6800;84,06;0,577;0,568;0,777;0,436;88;9,87;80;752
Vitória da Conquista;306866;87,03;0,678;0,681;0,788;0,581;1895;6,94;2732;17720
Wagner;8983;57,18;0,587;0,573;0,737;0,479;81;8,58;94;572
Wanderley;12485;61,77;0,6;0,569;0,764;0,498;87;7,33;83;655
Wenceslau Guimarães;22189;52,18;0,544;0,558;0,752;0,383;146;5,61;166;1446
Xique-Xique;45536;74,2;0,585;0,563;0,741;0,479;290;7,47;414;5075

